session,acquisition,status
123894x20190327x3T,T1_3D_0.8x0.8x0.8,kept
124822x20210126x3T,T1_3D_0.8x0.8x0.8,kept
20101220x1159,t1_mpr_AX_MPRAGE,kept
20151007x1556,t1_mpr_AX_MPRAGE,kept
20090106x1214,t1_mpr_AX_MPRAGE,kept
20160121x1259,t1_mpr_AX_MPRAGE,kept
126022x20210112x3T,T1_3D_0.8x0.8x0.8,kept
20160121x1259,t1_mpr_AX_MPRAGE,kept
20160907x1425,t1_mpr_AX_MPRAGE,kept
20041103x1130,t1_mpr_AX_MPRAGE,kept
20081008x1021,t1_mpr_AX_MPRAGE,kept
20171213x1012,ABCD_T1w_MPR_vNav_passive RMS,kept
20171213x1012,ABCD_T1w_MPR_vNav_moco RMS,kept
125987x20210610x3T,T1_3D_0.8x0.8x0.8,kept
20190710x1517,ABCD_T1w_MPR_vNav_passive  RMS,kept
20170920x1313,ABCD_T1w_MPR_vNav_passive RMS,kept
20170920x1313,ABCD_T1w_MPR_vNav_moco RMS,kept
119851x20170606x3T,T1_3D_0.8x0.8x0.8,kept
20180110x1405,ABCD_T1w_MPR_vNav_passive RMS,kept
20180110x1405,ABCD_T1w_MPR_vNav_moco RMS,kept
125780x20210216x3T,T1_3D_0.8x0.8x0.8,kept
20180605x1417,ABCD_T1w_MPR_vNav_moco RMS,kept
124938x20210527x3T,T1_3D_0.8x0.8x0.8,kept
120937x20160711x3T,T1_3D_0.8x0.8x0.8,kept
124568x20210318x3T,T1_3D_0.8x0.8x0.8,kept
100113x20160620x3T,T1_3D_0.8x0.8x0.8,kept
20151007x1556,t1_mpr_AX_MPRAGE,kept
122005x20171213x3T,T1_3D_0.8x0.8x0.8,kept
122216x20200205x3T,T1_3D_0.8x0.8x0.8,kept
20131108x1000,t1_mpr_AX_MPRAGE,kept
107486x20200929x3T,T1_3D_0.8x0.8x0.8,kept
20091201x1029,t1_mpr_AX_MPRAGE,kept
20050705x1118,t1_mpr_AX_MPRAGE,kept
20080108x1018,t1_mpr_AX_MPRAGE,kept
124509x20200813x3T,T1_3D_0.8x0.8x0.8,kept
20090218x1235,t1_mpr_AX_MPRAGE,kept
20060607x1336,t1_mpr_AX_MPRAGE,kept
125564x20201105x3T,T1_3D_0.8x0.8x0.8,kept
20040928x1330,t1_mpr_AX_MPRAGE,kept
112286x01x20200721x3T,T1_3D_0.8x0.8x0.8,kept
20090331x0933,t1_mpr_AX_MPRAGE,kept
20090512x1126,t1_mpr_AX_MPRAGE,kept
20090304x1208,t1_mpr_AX_MPRAGE,kept
20090316x1310,t1_mpr_AX_MPRAGE,kept
123831x20201201x3T,T1_3D_0.8x0.8x0.8,kept
125687x20200714x3T,T1_3D_0.8x0.8x0.8,kept
20111220x1256,t1_mpr_AX_MPRAGE,kept
20111103x1154,t1_mpr_AX_MPRAGE,kept
20130612x1523,t1_mpr_AX_MPRAGE,kept
20140226x1627,t1_mpr_AX_MPRAGE,kept
